state,city,station,mean_avg,max_avg,n_readings
Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB",195.66666666666666,292.0,3
Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM",155.2,225.0,5
Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",142.25,333.0,4
Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",125.33333333333333,225.0,6
Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",111.5,161.0,4
Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",99.75,169.0,4
Maharashtra,Pune,"Hadapsar, Pune - IITM",99.2,163.0,5
Odisha,Cuttack,"CDA Area, Cuttack - OSPCB",99.14285714285714,256.0,7
Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",95.85714285714286,229.0,7
Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",95.85714285714286,203.0,7
West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",95.57142857142857,204.0,7
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",92.85714285714286,284.0,7
Maharashtra,Pune,"Mhada Colony, Pune - IITM",92.2,158.0,5
Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB",90.57142857142857,229.0,7
Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",89.42857142857143,223.0,7
Maharashtra,Mumbai,"Deonar, Mumbai - IITM",89.0,191.0,6
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",87.4,134.0,5
Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",84.25,137.0,4
Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",84.14285714285714,204.0,7
West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",83.8,190.0,5
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",83.8,301.0,5
West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",83.42857142857143,207.0,7
Bihar,Patna,"Muradpur, Patna - BSPCB",83.14285714285714,191.0,7
Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",82.14285714285714,176.0,7
Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",82.0,227.0,6
Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",81.42857142857143,182.0,7
Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",81.28571428571429,174.0,7
Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",79.85714285714286,152.0,7
Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",79.71428571428571,184.0,7
Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",79.5,161.0,6
Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",78.85714285714286,230.0,7
Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",78.57142857142857,170.0,7
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",78.0,162.0,7
Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",76.85714285714286,146.0,7
Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",76.0,109.0,3
West_Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",75.71428571428571,211.0,7
Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",75.6,128.0,5
Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",75.57142857142857,174.0,7
Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",75.57142857142857,155.0,7
